1,115,3.236
2,229,4.019
3,343,4.853
4,457,5.689
5,571,6.582
10,1141,11.951
15,1711,20.645
20,2281,28.806
25,2851,34.626
30,3421,44.457
35,3991,55.835
40,4561,67.973
45,5131,81.633
50,5701,96.288
1,115,3.260
2,229,4.083
3,343,4.828
4,457,5.658
5,571,6.756
10,1141,11.915
15,1711,18.385
20,2281,25.664
25,2851,34.919
30,3421,43.715
35,3991,55.514
40,4561,67.098
45,5131,81.077
50,5701,95.853
1,115,3.246
2,229,4.009
3,343,4.844
4,457,5.650
5,571,6.759
10,1141,11.892
15,1711,18.196
20,2281,25.729
25,2851,34.393
30,3421,44.097
35,3991,55.327
40,4561,67.504
45,5131,81.010
50,5701,95.850
1,115,3.246
2,229,4.059
3,343,4.799
4,457,5.713
5,571,6.585
10,1141,11.839
15,1711,18.254
20,2281,25.993
25,2851,34.250
30,3421,43.976
35,3991,54.871
40,4561,67.265
45,5131,81.055
50,5701,96.762
1,115,3.238
2,229,4.157
3,343,4.841
4,457,5.776
5,571,6.561
10,1141,12.024
15,1711,18.153
20,2281,25.808
25,2851,34.369
30,3421,44.155
35,3991,55.117
40,4561,67.694
45,5131,81.154
50,5701,95.989
